CO,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY
"01001","Autauga County",25819,673,2.61,694,2.69,718,2.78,862,3.34,1929,7.47,3336,12.92,4358,16.88,5234,20.27,6222,24.10,6593,25.54
"01003","Baldwin County",102814,2688,2.61,2780,2.70,2881,2.80,3487,3.39,7994,7.78,13934,13.55,18248,17.75,21945,21.34,26117,25.40,27685,26.93
"01005","Barbour County",9431,353,3.74,361,3.83,370,3.92,424,4.50,828,8.78,1359,14.41,1745,18.50,2076,22.01,2450,25.98,2590,27.46
"01007","Bibb County",8679,268,3.09,275,3.17,282,3.25,328,3.78,671,7.73,1122,12.93,1450,16.71,1731,19.94,2048,23.60,2167,24.97
"01009","Blount County",22196,580,2.61,596,2.69,615,2.77,724,3.26,1539,6.93,2613,11.77,3392,15.28,4061,18.30,4815,21.69,5098,22.97
"01011","Bullock County",4578,140,3.06,143,3.12,147,3.21,172,3.76,355,7.75,595,13.00,770,16.82,920,20.10,1089,23.79,1153,25.19
"01013","Butler County",8026,284,3.54,291,3.63,299,3.73,348,4.34,710,8.85,1188,14.80,1534,19.11,1831,22.81,2167,27.00,2293,28.57
"01015","Calhoun County",51415,1822,3.54,1870,3.64,1924,3.74,2245,4.37,4630,9.01,7774,15.12,10057,19.56,12013,23.36,14221,27.66,15051,29.27
"01017","Chambers County",15175,448,2.95,462,3.04,478,3.15,572,3.77,1272,8.38,2195,14.46,2865,18.88,3440,22.67,4088,26.94,4331,28.54
"01019","Cherokee County",10391,302,2.91,310,2.98,320,3.08,377,3.63,804,7.74,1366,13.15,1775,17.08,2125,20.45,2520,24.25,2668,25.68
"01021","Chilton County",18916,494,2.61,509,2.69,526,2.78,628,3.32,1387,7.33,2387,12.62,3114,16.46,3736,19.75,4439,23.47,4703,24.86
"01023","Choctaw County",4528,192,4.24,195,4.31,200,4.42,225,4.97,413,9.12,662,14.62,842,18.60,997,22.02,1171,25.86,1237,27.32
"01025","Clarke County",8877,491,5.53,498,5.61,507,5.71,558,6.29,939,10.58,1442,16.24,1807,20.36,2120,23.88,2473,27.86,2605,29.35
"01027","Clay County",5751,161,2.80,166,2.89,171,2.97,206,3.58,461,8.02,798,13.88,1043,18.14,1253,21.79,1489,25.89,1578,27.44
"01029","Cleburne County",6207,204,3.29,209,3.37,215,3.46,249,4.01,508,8.18,850,13.69,1098,17.69,1310,21.11,1550,24.97,1640,26.42
"01031","Coffee County",23168,692,2.99,711,3.07,733,3.16,862,3.72,1825,7.88,3093,13.35,4014,17.33,4804,20.74,5695,24.58,6030,26.03
"01033","Colbert County",23614,897,3.80,919,3.89,943,3.99,1088,4.61,2164,9.16,3583,15.17,4613,19.54,5496,23.27,6492,27.49,6867,29.08
"01035","Conecuh County",4435,174,3.92,178,4.01,182,4.10,208,4.69,404,9.11,661,14.90,848,19.12,1008,22.73,1189,26.81,1257,28.34
"01037","Coosa County",4196,112,2.67,115,2.74,119,2.84,144,3.43,328,7.82,571,13.61,748,17.83,899,21.43,1069,25.48,1134,27.03
"01039","Covington County",15882,592,3.73,604,3.80,617,3.88,698,4.39,1295,8.15,2083,13.12,2655,16.72,3146,19.81,3699,23.29,3907,24.60
"01041","Crenshaw County",5946,176,2.96,180,3.03,186,3.13,217,3.65,452,7.60,762,12.82,988,16.62,1181,19.86,1398,23.51,1480,24.89
"01043","Cullman County",34360,923,2.69,951,2.77,982,2.86,1169,3.40,2558,7.44,4389,12.77,5719,16.64,6858,19.96,8144,23.70,8627,25.11
"01045","Dale County",19535,628,3.21,644,3.30,663,3.39,774,3.96,1598,8.18,2685,13.74,3474,17.78,4150,21.24,4913,25.15,5200,26.62
"01047","Dallas County",15471,774,5.00,787,5.09,803,5.19,894,5.78,1574,10.17,2470,15.97,3120,20.17,3678,23.77,4307,27.84,4543,29.36
