ST,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY
"01","Alabama",2225043,65403,2.94,67412,3.03,69610,3.13,82773,3.72,180638,8.12,309628,13.92,403301,18.13,483581,21.73,574175,25.81,608231,27.34
"02","Alaska",372659,25055,6.72,25962,6.97,27209,7.30,35948,9.65,51286,13.76,67533,18.12,80904,21.71,94491,25.36,105976,28.44,116448,31.25
"04","Arizona",3437600,155707,4.53,159763,4.65,164408,4.78,199871,5.81,307343,8.94,467365,13.60,586426,17.06,673980,19.61,737517,21.45,789366,22.96
"05","Arkansas",1387191,43277,3.12,45510,3.28,47185,3.40,58427,4.21,92070,6.64,167322,12.06,210507,15.18,241299,17.39,262717,18.94,277791,20.03
"06","California",20229974,797559,3.94,849504,4.20,918470,4.54,1141551,5.64,2408616,11.91,3508647,17.34,4293420,21.22,4926001,24.35,5315501,26.28,5696283,28.16
"08","Colorado",3160326,89929,2.85,92165,2.92,94948,3.00,118660,3.75,192811,6.10,248362,7.86,373758,11.83,454865,14.39,501225,15.86,535187,16.93
"09","Connecticut",1932948,72173,3.73,75153,3.89,79210,4.10,108813,5.63,148001,7.66,187468,9.70,227626,11.78,348877,18.05,387846,20.06,430500,22.27
"10","Delaware",485076,14397,2.97,14953,3.08,15460,3.19,27034,5.57,47588,9.81,67835,13.98,82075,16.92,92221,19.01,100756,20.77,107397,22.14
"11","District of Columbia",409014,20849,5.10,21143,5.17,21902,5.35,30945,7.57,40869,9.99,50455,12.34,56692,13.86,62094,15.18,67540,16.51,72625,17.76
"12","Florida",10418929,307892,2.96,314637,3.02,322821,3.10,416941,4.00,706328,6.78,921492,8.84,1149996,11.04,1791707,17.20,2340244,22.46,2559612,24.57
"13","Georgia",5267951,173459,3.29,179081,3.40,185781,3.53,200718,3.81,365381,6.94,845430,16.05,1238667,23.51,1542601,29.28,1870559,35.51,2149304,40.80
"15","Hawaii",714338,19734,2.76,21343,2.99,23349,3.27,34476,4.83,95818,13.41,162847,22.80,206670,28.93,240236,33.63,268552,37.59,288706,40.42
"16","Idaho",851966,24416,2.87,25536,3.00,26767,3.14,42991,5.05,82328,9.66,119232,13.99,141361,16.59,156912,18.42,167453,19.65,176044,20.66
"17","Illinois",6675371,249745,3.74,259808,3.89,272344,4.08,403941,6.05,609699,9.13,841542,12.61,1004327,15.05,1123034,16.82,1217132,18.23,1303016,19.52
"18","Indiana",3411865,112280,3.29,114897,3.37,117954,3.46,188310,5.52,352176,10.32,501720,14.71,635657,18.63,721323,21.14,786992,23.07,838536,24.58
"19","Iowa",1687665,34109,2.02,36702,2.17,39305,2.33,87126,5.16,152480,9.03,227443,13.48,278694,16.51,310107,18.37,341894,20.26,370728,21.97
"20","Kansas",1507159,48214,3.20,49758,3.30,51745,3.43,78413,5.20,139904,9.28,195708,12.99,229518,15.23,264146,17.53,291857,19.36,312547,20.74
"21","Kentucky",2117414,78301,3.70,81148,3.83,84368,3.98,141052,6.66,271881,12.84,407828,19.26,542274,25.61,662502,31.29,767972,36.27,860490,40.64
"22","Louisiana",2164811,79697,3.68,81678,3.77,84310,3.89,168847,7.80,282515,13.05,399942,18.47,492899,22.77,600170,27.72,677335,31.29,738151,34.10
"23","Maine",701538,24223,3.45,25078,3.57,25837,3.68,51517,7.34,79963,11.40,116954,16.67,133095,18.97,147179,20.98,156347,22.29,175704,25.05
"24","Maryland",3290458,112983,3.43,116273,3.53,121026,3.68,173898,5.28,278845,8.47,413528,12.57,490906,14.92,550560,16.73,597212,18.15,677490,20.59
"25","Massachusetts",3828379,98073,2.56,103225,2.70,111369,2.91,273684,7.15,472048,12.33,624735,16.32,738243,19.28,826771,21.60,904794,23.63,965419,25.22
